Expenses,Sales revenue,Cost of goods sold,Quality sold,Discounts,Avg selling prize,Return on investment,Product,Customer,sales channel,Sales person,Currency,Location,
64528,73174,3627,53,82,3429,4595,Steel,Kacey,retile,Kacey Gant,Peso,Argentina,
69210,38236,9411,84,32,4966,3772,Steel,Papagena,whole sales,Papagena Crosio,Rupiah,Indonesia,
35752,53399,6371,80,94,4938,1083,Plexiglass,Stephen,online,Stephen Blinkhorn,Sol,Peru,
18780,18735,1834,86,100,3454,1786,Plexiglass,Broderick,retile,Broderick Olennikov,Euro,France,
19104,51063,3068,100,83,5175,3344,Plexiglass,Dru,whole sales,Dru Whightman,Euro,France,
21063,61692,9885,99,64,4374,2011,Glass,Grissel,online,Grissel O' Byrne,Rupiah,Indonesia,
62813,19188,2126,99,83,5716,3122,Granite,Jacinda,retile,Jacinda Dhennin,Yuan Renminbi,China,
68872,12233,2865,35,49,4569,9556,Plastic,Pru,whole sales,Pru Loveguard,Krone,Norway,
88103,88273,1398,40,82,3804,1697,Wood,Norry,online,Norry Gotobed,Yuan Renminbi,China,
20818,99047,7171,1,10,3167,8636,Plexiglass,Angeline,retile,Angeline Spearett,Euro,Portugal,
81155,58082,1283,73,71,4742,3436,Plastic,Glynnis,whole sales,Glynnis Szapiro,Yuan Renminbi,China,
73272,47711,2873,86,35,4339,4261,Plexiglass,L;urette,online,L;urette Lias,Quetzal,Guatemala,
52401,88685,1948,87,74,4972,1303,Brass,Waylan,retile,Waylan Medcalf,Lari,Georgia,
90264,76422,4270,18,42,5751,1652,Granite,Christy,whole sales,Christy Itzhak,Rupiah,Indonesia,
40219,29199,1689,32,26,5189,8780,Vinyl,Maisie,online,Maisie Domokos,Rupiah,Indonesia,
41633,86571,5996,50,37,3402,5272,Steel,Ashil,retile,Ashil Laurencot,Shilling,Tanzania,
31786,71752,6194,61,61,4594,9561,Brass,Craggie,whole sales,Craggie Mackro,Baht,Thailand,
69802,71695,9651,29,7,3058,2298,Wood,Vincent,online,Vincent Gumn,Real,Brazil,
16034,81855,6362,4,14,3784,6771,Vinyl,Korry,retile,Korry Doyland,Euro,Portugal,
34866,12700,5127,3,69,4116,3563,Plexiglass,Chad,whole sales,Chad Bool,Yen,Japan,
39086,29963,2867,82,29,3959,9704,Rubber,Hermy,online,Hermy Corringham,Euro,Greece,
90919,15328,8573,31,84,3545,6346,Rubber,Linzy,retile,Linzy Farrants,Ruble,Russia,
93667,22522,2668,47,97,4582,1564,Rubber,Marys,whole sales,Marys Panchin,Yen,Japan,
78047,76654,5998,1,86,4637,2785,Brass,Sela,online,Sela Pluvier,Krona,Sweden,
78056,22962,5992,97,87,5271,4991,Wood,Tracie,retile,Tracie Amber,Zloty,Poland,
20702,11423,1014,94,14,4577,6614,Glass,Kalie,whole sales,Kalie Ruppertz,Yuan Renminbi,China,
56359,84598,5211,53,55,4560,6647,Rubber,Kay,online,Kay Melbert,Euro,Portugal,
21537,63369,6286,15,25,5335,7554,Brass,Bethena,retile,Bethena Tidcombe,Peso,Philippines,
23342,97074,7568,24,71,3993,8823,Steel,Sheri,whole sales,Sheri Drover,Yuan Renminbi,China,
34409,69706,6906,6,98,5550,5107,Aluminum,Sibyl,online,Sibyl Rosenzwig,Dollar,United States,
70315,85296,7151,94,43,3926,8919,Glass,Jami,retile,Jami Gavaran,Real,Brazil,
63087,69001,9243,70,62,4257,6661,Rubber,Angus,whole sales,Angus Janauschek,Peso,Mexico,
17692,14776,4201,22,20,3513,6832,Plexiglass,Derrik,online,Derrik Esler,Peso,Philippines,
94898,20988,1069,56,36,4118,8731,Stone,Nedi,retile,Nedi Kobpac,Rupiah,Indonesia,
39448,85832,3290,49,94,3043,9154,Vinyl,Caleb,online,Caleb Stockin,Peso,Philippines,
